,precision,recall,f1-score,support
isnull,0.3,0.6,0.4,10.0
丁,1.0,1.0,1.0,10.0
三,1.0,1.0,1.0,10.0
上,1.0,1.0,1.0,10.0
不,1.0,1.0,1.0,10.0
世,1.0,1.0,1.0,10.0
丞,1.0,1.0,1.0,10.0
中,1.0,1.0,1.0,10.0
主,1.0,1.0,1.0,10.0
久,1.0,1.0,1.0,10.0
之,1.0,1.0,1.0,10.0
事,1.0,1.0,1.0,10.0
于,0.8333333333333334,1.0,0.9090909090909091,10.0
五,1.0,1.0,1.0,10.0
亞,1.0,1.0,1.0,10.0
交,1.0,1.0,1.0,10.0
亨,1.0,0.9,0.9473684210526316,10.0
京,0.9090909090909091,1.0,0.9523809523809523,10.0
亮,0.9090909090909091,1.0,0.9523809523809523,10.0
人,1.0,1.0,1.0,10.0
仁,1.0,1.0,1.0,10.0
介,1.0,1.0,1.0,10.0
仕,1.0,1.0,1.0,10.0
仙,1.0,1.0,1.0,10.0
代,1.0,1.0,1.0,10.0
仲,1.0,1.0,1.0,10.0
任,1.0,1.0,1.0,10.0
份,1.0,1.0,1.0,10.0
企,1.0,1.0,1.0,10.0
伊,1.0,1.0,1.0,10.0
伍,1.0,1.0,1.0,10.0
伯,1.0,1.0,1.0,10.0
伶,1.0,1.0,1.0,10.0
位,1.0,1.0,1.0,10.0
佑,1.0,1.0,1.0,10.0
何,1.0,1.0,1.0,10.0
余,1.0,0.9,0.9473684210526316,10.0
作,1.0,1.0,1.0,10.0
佩,1.0,1.0,1.0,10.0
佳,1.0,1.0,1.0,10.0
來,1.0,1.0,1.0,10.0
侑,1.0,1.0,1.0,10.0
侯,1.0,1.0,1.0,10.0
俊,1.0,1.0,1.0,10.0
保,1.0,1.0,1.0,10.0
信,1.0,1.0,1.0,10.0
修,1.0,1.0,1.0,10.0
倉,1.0,1.0,1.0,10.0
倫,1.0,1.0,1.0,10.0
偉,1.0,1.0,1.0,10.0
健,1.0,1.0,1.0,10.0
傅,1.0,1.0,1.0,10.0
傑,1.0,0.9,0.9473684210526316,10.0
備,1.0,1.0,1.0,10.0
傳,1.0,1.0,1.0,10.0
僑,1.0,1.0,1.0,10.0
儀,1.0,0.9,0.9473684210526316,10.0
億,1.0,1.0,1.0,10.0
儒,1.0,1.0,1.0,10.0
優,1.0,1.0,1.0,10.0
允,1.0,1.0,1.0,10.0
元,1.0,1.0,1.0,10.0
兆,1.0,1.0,1.0,10.0
先,1.0,1.0,1.0,10.0
光,1.0,1.0,1.0,10.0
克,1.0,1.0,1.0,10.0
兒,1.0,0.9,0.9473684210526316,10.0
內,1.0,1.0,1.0,10.0
全,0.7692307692307693,1.0,0.8695652173913044,10.0
公,1.0,1.0,1.0,10.0
其,1.0,1.0,1.0,10.0
具,0.8333333333333334,1.0,0.9090909090909091,10.0
典,1.0,1.0,1.0,10.0
冠,1.0,1.0,1.0,10.0
冷,0.9090909090909091,1.0,0.9523809523809523,10.0
凌,1.0,1.0,1.0,10.0
凍,1.0,1.0,1.0,10.0
凱,1.0,1.0,1.0,10.0
分,1.0,1.0,1.0,10.0
利,1.0,1.0,1.0,10.0
刷,1.0,1.0,1.0,10.0
券,1.0,1.0,1.0,10.0
創,1.0,1.0,1.0,10.0
劉,1.0,1.0,1.0,10.0
力,1.0,1.0,1.0,10.0
加,1.0,1.0,1.0,10.0
助,1.0,1.0,1.0,10.0
勁,1.0,1.0,1.0,10.0
勇,0.9090909090909091,1.0,0.9523809523809523,10.0
動,1.0,1.0,1.0,10.0
務,1.0,1.0,1.0,10.0
勝,1.0,1.0,1.0,10.0
勤,1.0,1.0,1.0,10.0
勳,1.0,1.0,1.0,10.0
包,0.9090909090909091,1.0,0.9523809523809523,10.0
化,1.0,1.0,1.0,10.0
