,precision,recall,f1-score,support
isnull,0.07142857142857142,0.4,0.12121212121212122,10.0
一,1.0,1.0,1.0,7.0
丁,1.0,1.0,1.0,10.0
七,1.0,1.0,1.0,7.0
丈,1.0,1.0,1.0,7.0
三,1.0,1.0,1.0,10.0
上,1.0,1.0,1.0,10.0
下,1.0,1.0,1.0,7.0
不,1.0,1.0,1.0,10.0
且,1.0,1.0,1.0,7.0
世,1.0,1.0,1.0,10.0
丘,0.9444444444444444,1.0,0.9714285714285714,17.0
丙,1.0,1.0,1.0,7.0
丞,1.0,1.0,1.0,10.0
丟,1.0,0.9375,0.967741935483871,16.0
並,1.0,1.0,1.0,7.0
中,1.0,1.0,1.0,10.0
串,1.0,1.0,1.0,7.0
丸,1.0,1.0,1.0,7.0
丹,0.7777777777777778,1.0,0.8750000000000001,7.0
主,1.0,1.0,1.0,10.0
乃,1.0,1.0,1.0,7.0
久,1.0,1.0,1.0,10.0
之,1.0,1.0,1.0,10.0
乍,1.0,0.8571428571428571,0.923076923076923,7.0
乎,1.0,0.8571428571428571,0.923076923076923,7.0
乏,1.0,1.0,1.0,17.0
乘,0.8571428571428571,1.0,0.923076923076923,6.0
乙,1.0,1.0,1.0,7.0
九,1.0,1.0,1.0,7.0
乞,1.0,1.0,1.0,7.0
也,1.0,1.0,1.0,17.0
乳,1.0,1.0,1.0,7.0
乾,1.0,1.0,1.0,17.0
亂,1.0,1.0,1.0,6.0
了,1.0,1.0,1.0,7.0
予,1.0,1.0,1.0,7.0
事,1.0,1.0,1.0,10.0
二,0.875,1.0,0.9333333333333333,7.0
于,0.8333333333333334,1.0,0.9090909090909091,10.0
互,1.0,1.0,1.0,17.0
五,1.0,1.0,1.0,10.0
井,1.0,1.0,1.0,7.0
些,1.0,1.0,1.0,7.0
亞,1.0,1.0,1.0,10.0
亟,1.0,1.0,1.0,6.0
亡,1.0,0.7142857142857143,0.8333333333333333,7.0
交,1.0,1.0,1.0,10.0
亥,1.0,0.9411764705882353,0.9696969696969697,17.0
亦,1.0,1.0,1.0,7.0
亨,1.0,0.9,0.9473684210526316,10.0
享,1.0,1.0,1.0,7.0
京,0.9090909090909091,1.0,0.9523809523809523,10.0
亭,1.0,1.0,1.0,17.0
亮,0.9090909090909091,1.0,0.9523809523809523,10.0
人,1.0,1.0,1.0,10.0
什,0.875,1.0,0.9333333333333333,7.0
仁,1.0,1.0,1.0,10.0
仇,0.9444444444444444,1.0,0.9714285714285714,17.0
今,0.875,1.0,0.9333333333333333,7.0
介,1.0,1.0,1.0,10.0
仍,1.0,1.0,1.0,6.0
